strains	pval	-logP
BDE	0.5539	0.590771113943079
BDF	0.8531	0.158878505067488
BDH	0.2815	1.26762283140239
BDI	0.4504	0.797619202156656
BDK	0.7507	0.28674917440318
BDL	0.4487	0.801400766000199
BDM	0.8445	0.169010542734282
BDN	0.7385	0.303134177010702
BDP	0.8737	0.135018211678088
BDQ	0.778	0.251028754803745
BDR	0.2982	1.2099908766515
BDS	0.7642	0.268925743969337
BDT	0.3654	1.00676263503823
BDV	0.2361	1.44349983489067
BEA	0.3688	0.997500787299698
BEB	0.5139	0.665726584983953
BEC	0.9094	0.0949702375912269
BED	0.9759	0.0243951568347216
BEE	0.8264	0.190676361176708
BEF	0.267	1.32050662058189
BEG	0.5911	0.525770071151813
BEH	0.3552	1.03507426786412
BEM	0.4957	0.701784373955609
BEN	0.4461	0.807212136847918
BEP	0.418	0.872273846457381
BEQ	0.5299	0.635066969483421
BER	0.2392	1.43045525690566
BES	0.7999	0.223268559127361
BEV	0.4829	0.727945686102641
BFB	0.2558	1.36335938983739
BFC	0.9611	0.0396768171528984
BFD	0.938	0.0640053299759124
BFG	0.4993	0.694548161475573
BFH	0.475	0.744440474947496
BFK	0.8531	0.158878505067488
BFL	0.9424	0.0593254660848148
BFN	0.86	0.150822889734584
BFP	0.4617	0.772839949469194
BFR	0.6099	0.494460269679726
BFS	0.2316	1.4627435332833
BGA	0.1076	2.22933463125445
BGB	0.2012	1.60345584075655
BGD	0.407	0.898942093539542
BGE	0.6121	0.490859611125113
BGG	0.273	1.29828348379718
BGH	0.952	0.0491902441907718
BGI	0.1988	1.61545598475966
BGK	0.0867	2.44530139519564
BGM	0.9269	0.0759095941003501
BGN	0.1244	2.08425309867706
BGP	0.9059	0.0988263543068949
BGR	0.8837	0.123637640458178
BGS	0.0992	2.31061726469131
BGV	0.4095	0.892818375689013
BHB	0.9408	0.0610247018377746
BHC	0.1031	2.27205588795922
BHD	0.6835	0.380528622818133
BHE	0.898	0.107585210679937
BHF	0.3777	0.973655049263726
BHG	0.7238	0.323240167852495
BHH	0.7286	0.316630394407674
BHI	0.7795	0.249102590484306
BHK	0.5501	0.597655199100725
BHL	0.2659	1.32463498073316
BHM	0.3273	1.116878097475
BHN	0.8285	0.188138442115519
BHQ	0.6433	0.441144100565182
BHT	0.3318	1.10322290122579
BHV	0.9364	0.0657125433653813
BIB	0.6868	0.375712149958817
BIC	0.725	0.321583624127462
BID	0.1099	2.20818441757256
BIF	0.9643	0.0363528294657983
BIG	0.1896	1.66283868916122
BIH	0.8239	0.193706115660593
BIL	0.688	0.373966441048793
BIN	0.515	0.663588378318401
BIQ	0.5022	0.688756832258652
BIR	0.7905	0.23508962233261
BIS	0.7826	0.245133569205825
BIT	0.7999	0.223268559127361
BKE	0.908	0.0965109003808437
BKG	0.8407	0.173520400840886
BKH	0.5999	0.51099230432309
BKI	0.0679	2.68971924441749
BKM	0.8045	0.217534312549699
BKP	0.3994	0.917791858000422
BKQ	0.4151	0.879235823923144
BLB	0.6937	0.365715688590881
BLD	0.9692	0.0312842900397664
BLE	0.215	1.53711725085447
BLH	0.5022	0.688756832258652
BLI	0.8915	0.114849841678942
BLK	0.7365	0.305846043079452
BLL	0.6972	0.360682965336271
BLM	0.1433	1.94281494414801
BLN	0.5617	0.57678737944375
BLT	0.3237	1.12793811804994
BMA	0.3747	0.981629573182495
BMD	0.5632	0.574120474138304
BME	0.9152	0.0886126583566036
BMF	0.9042	0.100704704121632
BMM	0.1044	2.2595256035336
BMQ	0.7579	0.277203828164154
BMR	0.2135	1.54411844631346
BMV	0.1602	1.83133224434788
BNA	0.8517	0.160520926835102
BNB	0.7668	0.265529267810648
BNC	0.3607	1.01970869107264
BND	0.7333	0.310200383882383
BNF	0.3982	0.920800887352041
BNG	0.6754	0.39245017103067
BNH	0.1588	1.8401097301691
BNI	0.516	0.661648513500574
BNL	0.7963	0.227779279718738
BNM	0.6183	0.480781502417614
BNN	0.2428	1.41551721979679
BNP	0.5106	0.672168774174754
BNQ	0.34	1.07880966137193
BNR	0.0921	2.38488033572088
BNT	0.7947	0.229790594036003
BPA	0.8393	0.175187067893355
BPC	0.4056	0.902387826705164
BPH	0.949	0.0523464803722092
BPL	0.7983	0.225270812330384
BPM	0.3336	1.09781260849755
BPN	0.6904	0.370484139212919
BPP	0.6587	0.41748708333549
BPQ	0.9861	0.0139975096438537
BPV	0.5745	0.554255181693327
BQA	0.7609	0.27325333579966
BQB	0.9142	0.089705913084493
BQC	0.1287	2.05027116438006
BQE	0.8902	0.116309122400383
BQG	0.235	1.44816976483798
BQH	0.3578	1.02778110790752
BQI	0.7668	0.265529267810648
BQM	0.8718	0.137195239177845
BQP	0.1713	1.76433887365206
BQQ	0.6482	0.43355598827469
BQR	0.6845	0.379066634253633
BQS	0.9665	0.0340739803337514
BQT	0.797	0.226900600191922
BRB	0.8848	0.122393648214067
BRC	0.9704	0.0300469213522966
BRD	0.3169	1.14916901228526
BRE	0.2111	1.55542332412786
BRH	0.2956	1.21874808990809
BRK	0.4021	0.911054465078909
BRL	0.8087	0.212327258880361
BRM	0.0392	3.23907853218572
BRP	0.875	0.133531392624523
BRQ	0.718	0.331285709933913
BRV	0.7507	0.28674917440318
BSA	0.1334	2.01440314550061
BSB	0.3081	1.17733087337951
BSC	0.8819	0.125676608088002
BSD	0.1868	1.67771675318739
BSE	0.528	0.638658995275876
BSG	0.1322	2.02343935156455
BSI	0.9189	0.0845779764752977
BSK	0.9308	0.0717108475540004
BSM	0.934	0.0682788407532944
BSP	0.8187	0.200037562599735
BSR	0.7746	0.255408511901485
BTA	0.6808	0.384486701722973
BTB	0.7436	0.296252023134848
BTC	0.0083	4.79149976417958
BTG	0.7869	0.239654103441199
BTH	0.2428	1.41551721979679
BTI	0.8303	0.185968197714152
BTL	0.5874	0.532049260217617
BTN	0.2885	1.24306019303398
BTS	0.2514	1.38070998282599
BTT	0.6824	0.382139282804668
BTV	0.1713	1.76433887365206
BVA	0.5212	0.651621433731447
BVB	0.2163	1.53108894602312
BVC	0.9586	0.0422813922566061
BVE	0.0493	3.00983119793349
BVK	0.3336	1.09781260849755
CAC	0.5806	0.543693227391608
CAH	0.7305	0.314026047791383
CAK	0.9434	0.0582649081319757
CBA	0.8187	0.200037562599735
CBG	0.7136	0.337432697716337
CBH	0.558	0.583396316600826
CBI	0.1297	2.04253118765974
CBK	0.0444	3.11451580954396
CBM	0.0289	3.54391368386375
CBN	0.7077	0.345735003900398
CCC	0.411	0.889162064485903
CCL	0.3933	0.933182599544373
CCM	0.1868	1.67771675318739
CCN	0.5678	0.565986034943266
CCP	0.5979	0.514331763095278
CCQ	0.633	0.457284856837961
CCR	0.669	0.401971218853909
CCS	0.5441	0.608622225490257
CCT	0.354	1.03845836584836
CCV	0.3186	1.14381888150619
CDA	0.121	2.1119647333854
CDB	0.7091	0.343758718672186
CDD	0.6136	0.488412028929091
CDG	0.7414	0.299214988265505
CDK	0.3525	1.04270465672981
CDL	0.4713	0.752260445052452
CDM	0.566	0.569161200778954
CDN	0.1644	1.80545279636006
CDP	0.5427	0.611198597912778
CDQ	0.816	0.20334092401803
CDR	0.004	5.52146091786225
CDS	0.1574	1.84896494299883
CDT	0.735	0.3078847797693
CEA	0.6658	0.406765953841213
CEC	0.4199	0.867738691291989
CEE	0.443	0.814185508937001
CEG	0.4212	0.864647498722317
CEH	0.6239	0.471765179865396
CEL	0.4691	0.756939313647725
CEM	0.1169	2.14643641050411
CEN	0.7211	0.326977455059423
CEP	0.4401	0.820753305165091
CEQ	0.5094	0.67452171643678
CER	0.6034	0.505174952257176
CES	0.7703	0.260975229623217
CET	0.4388	0.823711550581062
CEV	0.7011	0.355104748769215
CFA	0.2269	1.48324588719634
CFB	0.1503	1.89512198222321
CFC	0.8075	0.213812223885325
CFF	0.664	0.409473129505703
CFG	0.9206	0.082729647598996
CFM	0.9283	0.0744003225762502
CFN	0.634	0.455706324544911
CFP	0.0164	4.11047394415198
CFQ	0.8429	0.170906951978701
CFR	0.6215	0.475619368031371
CFS	0.6019	0.507663960428412
CFT	0.4891	0.715188311436826
CFV	0.4765	0.74128755588788
CGC	0.72	0.328504066972036
CGD	0.176	1.73727128394399
CGE	0.1383	1.97833004031142
CGG	0.8102	0.210474148213547
CGH	0.6172	0.482562158493131
CGI	0.304	1.19072757757592
CGL	0.2407	1.42420393419311
CGP	0.5412	0.613966382685504
CGR	0.3808	0.965480976064927
CGS	0.5715	0.559490795747272
CGT	0.1832	1.69717682674211
CGV	0.1365	1.99143066435712
CHA	0.8761	0.132275039309819
CHB	0.4322	0.838866834909352
CHC	0.5085	0.676290063493522
CHD	0.3154	1.1539136044532
CHE	0.8562	0.155251285271291
CHF	0.8927	0.113504700796821
CHG	0.0409	3.19662521593338
CHH	0.9628	0.0379095730732202
CHI	0.025	3.68887945411394
CHK	0.2831	1.26195508686428
CHP	0.668	0.403467105445491
CHQ	0.3595	1.02304110182104
CHR	0.4021	0.911054465078909
CHT	0.7155	0.334773679985631
CHV	0.5763	0.551126920539516
CIC	0.4119	0.886974677540102
CID	0.8886	0.118108088480329
CIE	0.003	5.80914299031403
CIF	0.7482	0.290084957068091
CIH	0.6856	0.377460911698567
CIK	0.5362	0.623248053180278
CIL	0.8346	0.180802710824685
CKA	0.8045	0.217534312549699
CKN	0.5347	0.626049437027451
CKR	0.488	0.71743987312899
CKV	0.1244	2.08425309867706
CLC	0.5173	0.659132301972668
CLG	0.2747	1.29207568588091
CLH	0.2199	1.51458238142142
CLI	0.6791	0.386986886862391
CLN	0.2332	1.4558588245058
CLQ	0.1627	1.81584726475714
CMG	0.5844	0.537169599105593
CNC	0.5468	0.603672174132343
CNF	0.0708	2.64789627828246
CNG	0.9598	0.0410303495579919
CNH	0.9324	0.069993371820535
CNI	0.1664	1.79336075059503
CNK	0.925	0.0779615414697118
CNL	0.9963	0.00370686193132651
CNM	0.1182	2.13537717401014
CNP	0.8634	0.14687719586076
CNQ	0.4931	0.707043285752057
CNR	0.9173	0.0863207064665272
CNS	0.9861	0.0139975096438537
CNV	0.1117	2.19193857290698
CPA	0.7495	0.288348961439485
CPB	0.6068	0.49955603150776
CPC	0.9007	0.10458304019244
CPD	0.3968	0.924322903571419
CPE	0.9836	0.0165359686400995
